S/N,Name,City,Address,Phone,Owner
1,ABBASOĞLU ECZANESİ,LEFKOŞA,ŞhT.Mustafa Ruso Cad. N0:112 /D Yarim Gelinlik yanı Küçük Kaymaklı Lefkoşa,(0392) 227 16 64,Ecz. İsmet Abbasoğlu
2,ADAHAN ECZANESİ,LEFKOŞA,Gaz.Kemal Aşık Cad. N0:17 Terminal Yolu Royal Hotel Yanı Yar Plus yanı Küçük Kaymaklı Lefkoşa,(0392) 227 37 00,Ecz. Duygu Adahan Kuran
3,AHMET MISIRLI ECZANESİ,LEFKOŞA,Gaz.Hasan Tahisn Cad. 42/6 Lemar Yolu Serena Butik karşısı Kermiya,(0392) 223 93 93,Ecz. İldem Mısırlı
4,AKDENİZ ECZANESİ,LEFKOŞA,Atatürk Cad. N0:106 Belça Market yanı Yenişehir Lefkoşa,(0392) 228 82 77,Ecz. Zehra Öksüz
5,AKDORA ECZANESİ,LEFKOŞA,Mumcu Tepe Sos. Anıttepe Hamitköy,(0392) 225 33 55,Ecz. Meliz Akdora
6,ALİ ERSOY ECZANESİ,LEFKOŞA,Kemal Şemiler Cad. N0:65 Ünsaldı Apt. Aydemet Metehan Zephyir Café yanı,(0392) 330 12 77,Ecz. Ali Ersoy
7,ALPDOĞAN ECZANESİ,LEFKOŞA,"Nazım Hikmet Cad. No: 124/4 Metehan Çemberi, yeni kulliye karşısı, Metehan Kermiya Lefkoşa",(0392) 330 10 36,Ecz. Nejmi Alpdoğan
8,APAYDIN ECZANESİ,LEFKOŞA,"2. Selim Cad. Arabacıoğlu Apt. Köşlüçiftlik, Lefkoşa",(0392) 227 51 59,Ecz. Duygu Akova
9,ARASTA ECZANESİ,LEFKOŞA,"Şht. Eybil H. Çetin Sokak. No: 14, Lefkoşa (Surlariçi Arasta Çarşısı Büyük Han Yanı)",(0392) 229 11 12,Ecz. Simge Sonap
10,ARDA ULUPINAR ECZANESI,LEFKOŞA,"Bedrettin caddesi, Kızılay Münür Dilaver sokak, kuzey kavşağı No: 4, Lefkoşa",(0533) 824 00 64,Ecz. Arda Ulupınar
11,ARZUM DAVULCU ECZANESİ,LEFKOŞA,"Şht. Mustafa Yusuf Hacı Sok. No:3, Polis Genel Müdürlüğü Yolu, Chıchen Planeti geçince, Vakıflar Bankası karşısı ara yolu, B1 Market yanı, Yenişehir, Lefkoşa",(0392) 227 14 57,Ecz. Arzum Davulcu
12,AŞAN ECZANESİ,LEFKOŞA,"Selçuk Avkıran Sok. No: 1, Derya butik ve Metropol süpermarket arası, Taşkınköy, Lefkoşa",(0392) 225 57 30,Ecz. Salih Aşan
13,ATAER ECZANESİ,LEFKOŞA,"Şht. Zehra Mustafa Sokak No: 5, Gönyeli, Lefkoşa",(0392) 223 24 85,Ecz. İlayda Sebatlı
14,AYŞE BIYIKOĞLU ECZANESİ,LEFKOŞA,Şht.Hüseyin Amca Cad. N0:77 Dükkan 2 Gönyeli,(0392) 223 67 50,Ecz. Ayşe Bıyıkoğlu
15,AYŞE KAPTAN ECZANESİ,LEFKOŞA,"Girne Cad. No: 50, Saray Hotel karşısı, Lefkoşa",(0392) 227 45 96,Ecz. Meliz Emel
16,AYŞE KETEN ECZANESİ,LEFKOŞA,Sakarya Sok. No:18 Alayköy Lefkoşa,(0392) 235 77 22,Ecz. Ayşe Keten
17,BAHAR NURLUÖZ ECZANESİ,LEFKOŞA,Hacet Sok.N0:8 Din Sitesi Karşısı İş Bankası yanı Hamitköy,(0392) 225 61 61,Ecz. Bahar Nurluöz
18,BALIN ECZANESİ,LEFKOŞA,"Dr. Burhan Nalbantoğlu Cad. Devlet Hastanesi ve Çember Restorant yanı, Lefkoşa",(0392) 223 18 13,Ecz. Eda Tülek
19,BEHAYİ YILMABAŞAR ECZANESİ,LEFKOŞA,"Okullar Yolu Sokak. No: 66A Dış Kapı, Küçük Kaymaklı, Lefkoşa",(0392) 227 11 16,Ecz. Behayi Yılmabaşar
20,BERİL ECZANESİ,LEFKOŞA,Müftü Ziayi Efendi Sok.Bekiroğlu İşHanı 28 B Leflkoşa,(0392) 227 73 10,Ecz. Beril Çakır
21,BERİLAL ECZANESİ,LEFKOŞA,Atatürk Cad. No:21 Muhtar Yusuf Galeria Lefkoşs,(0392) 228 00 16,Ecz. Alev Çakır
22,BİLGE TÜRKSEVEN ECZANESİ,LEFKOŞA,Bolu Sok. Sosyal Konutlar 10. Blok Dük.No: 2 KüçükKaymaklı Stadyumu yolu Lefkoşa,(0392) 228 55 15,Ecz. Bilge Türkseven
23,BİRGÜN ECZANESİ,LEFKOŞA,Kemal Aksay Cad. No:36 Lastikçi Yusuf Çocuk Ltd. Karşısı Taşkınköy Lefkoşa,(0392) 225 24 12,Ecz. Fatma Şentürk
